Intermediate,Pair,Parent_1,Parent_2
C[NH+](C)CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)cc(F)c1N[C@H]2c1ccccc1,4,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,C[NH+](C)CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Cl)=CC(F)=C1N[C@H]2C1=CC=CC=C1
[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Cl)ccc1N[C@H]2c1ccccc1,4,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,C[NH+](C)CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Cl)=CC(F)=C1N[C@H]2C1=CC=CC=C1
C[NH+](C)CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(Cl)ccc1N[C@H]2c1ccccc1,4,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,C[NH+](C)CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Cl)=CC(F)=C1N[C@H]2C1=CC=CC=C1
[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Cl)cc(F)c1N[C@H]2c1ccccc1,4,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,C[NH+](C)CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Cl)=CC(F)=C1N[C@H]2C1=CC=CC=C1
CC[N@H+](CCO)C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1,5,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC[N@H+](CCO)C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(C)(C)C)=CC=C1N[C@H]2C1=CC=CC=C1
CC(C)(C)c1ccc2c(c1)[C@H]1O[C@@H](C[NH3+])CC[C@H]1[C@H](c1ccccc1)N2,5,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC[N@H+](CCO)C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(C)(C)C)=CC=C1N[C@H]2C1=CC=CC=C1
C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1,6,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1
[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C3CC3)ccc1N[C@H]2c1ccccc1,6,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,C[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C3CC3)=CC=C1N[C@H]2C1=CC=CC=C1
FC(F)(F)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1)N2,7,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C(F)=C3)[C@@H]3CCCO[C@@H]3C2=C1
[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccc(O)cc1,7,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C(F)=C3)[C@@H]3CCCO[C@@H]3C2=C1
Oc1ccc([C@@H]2Nc3ccc(C(F)(F)F)cc3[C@H]3OCCC[C@H]32)cc1,7,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C(F)=C3)[C@@H]3CCCO[C@@H]3C2=C1
[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1cccc(F)c1,7,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C(F)=C3)[C@@H]3CCCO[C@@H]3C2=C1
Fc1cccc([C@@H]2Nc3ccc(C(F)(F)F)cc3[C@H]3OCCC[C@H]32)c1,7,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C(F)=C3)[C@@H]3CCCO[C@@H]3C2=C1
[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccc(O)c(F)c1,7,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C(F)=C3)[C@@H]3CCCO[C@@H]3C2=C1
Oc1ccc([C@@H]2Nc3ccc(C(F)(F)F)cc3[C@H]3OCCC[C@H]32)cc1F,7,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C(F)=C3)[C@@H]3CCCO[C@@H]3C2=C1
CC(C)(C)c1ccc2c(c1)[C@H]1O[C@@H](C[NH3+])CC[C@H]1[C@H](c1ccccc1)N2,7,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C(F)=C3)[C@@H]3CCCO[C@@H]3C2=C1
CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1)N2,7,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C(F)=C3)[C@@H]3CCCO[C@@H]3C2=C1
CC(C)(C)c1ccc2c(c1)[C@H]1O[C@@H](C[NH3+])CC[C@H]1[C@H](c1ccc(O)cc1)N2,7,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C(F)=C3)[C@@H]3CCCO[C@@H]3C2=C1
CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccc(O)cc1)N2,7,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C(F)=C3)[C@@H]3CCCO[C@@H]3C2=C1
CC(C)(C)c1ccc2c(c1)[C@H]1O[C@@H](C[NH3+])CC[C@H]1[C@H](c1cccc(F)c1)N2,7,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C(F)=C3)[C@@H]3CCCO[C@@H]3C2=C1
CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1cccc(F)c1)N2,7,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C(F)=C3)[C@@H]3CCCO[C@@H]3C2=C1
CC(C)(C)c1ccc2c(c1)[C@H]1O[C@@H](C[NH3+])CC[C@H]1[C@H](c1ccc(O)c(F)c1)N2,7,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C(F)=C3)[C@@H]3CCCO[C@@H]3C2=C1
FC(F)(F)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1)N2,8,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,ClC1=CC=C2N[C@@H](C3=CC=CC=C3)[C@@H]3CCCO[C@@H]3C2=C1
[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Cl)ccc1N[C@H]2c1ccccc1,8,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,ClC1=CC=C2N[C@@H](C3=CC=CC=C3)[C@@H]3CCCO[C@@H]3C2=C1
CC(C)(C)c1ccc2c(c1)[C@H]1O[C@@H](C[NH3+])CC[C@H]1[C@H](c1ccccc1)N2,9,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=CS3)[C@@H]3CCCO[C@@H]3C2=C1
FC(F)(F)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1)N2,9,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=CS3)[C@@H]3CCCO[C@@H]3C2=C1
CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1)N2,9,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=CS3)[C@@H]3CCCO[C@@H]3C2=C1
[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1cccs1,9,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=CS3)[C@@H]3CCCO[C@@H]3C2=C1
CC(C)(C)c1ccc2c(c1)[C@H]1O[C@@H](C[NH3+])CC[C@H]1[C@H](c1cccs1)N2,9,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=CS3)[C@@H]3CCCO[C@@H]3C2=C1
FC(F)(F)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1cccs1)N2,9,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=CS3)[C@@H]3CCCO[C@@H]3C2=C1
C[NH+](C)CCCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1,10,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)C1=CC=C2N[C@@H](C3=CC=CC=C3)[C@@H]3CC[C@H](CNS(=O)(=O)CCC[NH+](C)C)O[C@@H]3C2=C1
CC(C)c1ccc2c(c1)[C@H]1O[C@@H](C[NH3+])CC[C@H]1[C@H](c1ccccc1)N2,10,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)C1=CC=C2N[C@@H](C3=CC=CC=C3)[C@@H]3CC[C@H](CNS(=O)(=O)CCC[NH+](C)C)O[C@@H]3C2=C1
C[NH+](C)CCCC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1,11,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,C[NH+](C)CCCC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)cc(F)c1N[C@H]2c1ccccc1,11,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,C[NH+](C)CCCC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
C[NH+](C)CCCC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)cc(F)c1N[C@H]2c1ccccc1,11,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,C[NH+](C)CCCC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Br)ccc1N[C@H]2c1ccccc1,11,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,C[NH+](C)CCCC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
C[NH+](C)CCCC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(Br)ccc1N[C@H]2c1ccccc1,11,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,C[NH+](C)CCCC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Br)cc(F)c1N[C@H]2c1ccccc1,11,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,C[NH+](C)CCCC(=O)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
OCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1,13,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,OCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Cl)=CC(F)=C1N[C@H]2C1=CC=CC=C1
[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)cc(F)c1N[C@H]2c1ccccc1,13,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,OCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Cl)=CC(F)=C1N[C@H]2C1=CC=CC=C1
OCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)cc(F)c1N[C@H]2c1ccccc1,13,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,OCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Cl)=CC(F)=C1N[C@H]2C1=CC=CC=C1
[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Cl)ccc1N[C@H]2c1ccccc1,13,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,OCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Cl)=CC(F)=C1N[C@H]2C1=CC=CC=C1
OCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Cl)ccc1N[C@H]2c1ccccc1,13,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,OCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Cl)=CC(F)=C1N[C@H]2C1=CC=CC=C1
[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Cl)cc(F)c1N[C@H]2c1ccccc1,13,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,OCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Cl)=CC(F)=C1N[C@H]2C1=CC=CC=C1
CC(C)(C)c1ccc2c(c1)[C@H]1O[C@@H](C[NH3+])CC[C@H]1[C@H](c1ccccc1)N2,14,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CSC=C3)[C@@H]3CCCO[C@@H]3C2=C1
FC(F)(F)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1)N2,14,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CSC=C3)[C@@H]3CCCO[C@@H]3C2=C1
CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1)N2,14,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CSC=C3)[C@@H]3CCCO[C@@H]3C2=C1
[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccsc1,14,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CSC=C3)[C@@H]3CCCO[C@@H]3C2=C1
CC(C)(C)c1ccc2c(c1)[C@H]1O[C@@H](C[NH3+])CC[C@H]1[C@H](c1ccsc1)N2,14,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CSC=C3)[C@@H]3CCCO[C@@H]3C2=C1
FC(F)(F)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccsc1)N2,14,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CSC=C3)[C@@H]3CCCO[C@@H]3C2=C1
FC(F)(F)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1)N2,16,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC1=CC=C2N[C@@H](C3=CC=CC=C3)[C@@H]3CCCO[C@@H]3C2=C1
Cc1ccc2c(c1)[C@H]1O[C@@H](C[NH3+])CC[C@H]1[C@H](c1ccccc1)N2,16,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC1=CC=C2N[C@@H](C3=CC=CC=C3)[C@@H]3CCCO[C@@H]3C2=C1
CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1,19,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)cc(F)c1N[C@H]2c1ccccc1,19,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)cc(F)c1N[C@H]2c1ccccc1,19,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Br)ccc1N[C@H]2c1ccccc1,19,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Br)ccc1N[C@H]2c1ccccc1,19,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)c1cc(Br)cc(F)c1N[C@H]2c1ccccc1,19,[NH3+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC(=O)NCC[NH2+]C[C@H]1CC[C@@H]2[C@H](O1)C1=CC(Br)=CC(F)=C1N[C@H]2C1=CC=CC=C1
CC(C)(C)c1ccc2c(c1)[C@H]1O[C@@H](CNC(=O)NCCCO)CC[C@H]1[C@H](c1ccccc1)N2,23,O=C(NCCCO)NC[C@H]1CC[C@@H]2[C@H](O1)C1=CC(C(F)(F)F)=CC=C1N[C@H]2C1=CC=CC=C1,CC(C)(C)C1=CC=C2N[C@@H](C3=CC=C(O)C=C3)[C@@H]3CCCO[C@@H]3C2=C1
